no.,clinic_id,clinic_name
0,12690,Payment Confirmation
1,12691,Ergomedica
2,12692,"Sorry, we can't find that practice. Make sure you typed the right address."
3,12693,Altamonte Family Practice
4,12694,Open Health Care Clinic
5,12695,Dr. Richard Handelsman
6,12696,Women's CenterforIntegrative Health
7,12697,Eastern Urological Associates
8,12698,"Sorry, we can't find that practice. Make sure you typed the right address."
9,12699,Payment Confirmation
10,12700,Payment Confirmation
11,12701,Payment Confirmation
12,12702,Chand Rohatgi MD
13,12703,
14,12704,Volunteer Healthcare Clinic
15,12705,Christ Clinic
16,12706,"Olga Joukovski, MD, PA"
17,12707,Restore Health Clinic
18,12708,"STUART L. SILVERMAN, M.D., A MEDICAL CORPORATION"
19,12709,George E. Weems Clinics
20,12710,"Sorry, we can't find that practice. Make sure you typed the right address."
